姓名,工号,招生方向,方向审核人,照片下载地址,排序
王越,2014032,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/9d/8a/15f43f4345e48f99d785f31a6310/eaee5500-5230-413d-b422-b366c5e67ff6_s.jpg,34
郑颖颖,2021146,电气工程,0,https://ciee.cau.edu.cn/picture/0/6c8e125a2fe542529d6fbf377e3da881.jpg,35
牛焕娜,1509,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/1b/7e/ce2a402b47549e478559d0ad4dba/f2118daf-5e59-4456-9c14-27a9b2ebc08c_s.jpg,36
王江波,518,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/31/f7/fa936910477ab5037cb7dd67ed66/894982e6-07d3-4b33-a242-38096dce7a8d_s.png,37
杜海江,7068,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/8b/a2/3e3c88a147348acd1503d1c91be6/46dcbcc2-ce1a-4be2-8145-06090ed0b45a_s.jpg,38
余强,2021054,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/29/e2/cc71df7e4ff4a5f629d531dee3d4/f8e5c9a5-8cef-41db-8845-89fca94d49f6_s.jpg,39
汤红卫,1519,电气工程,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,40
赵永宁,2021169,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/3e/9d/e5c4a50242ed94a4a06ba9648d39/f1377e89-9f51-4fd3-a316-ba2f4681d400_s.jpg,41
夏越,2019159,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/6d/47/9fd1e9bf45c18c261ebc5e80a0cb/f1a73b5f-1e9f-4766-a458-323c834cae81_s.jpg,42
赵凤展,97520,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/f6/ef/5bb3ca7f4bfc8b0091f3db13a9e6/e93f4f46-4395-4dcf-a0f1-fd74fbc9a3ae_s.jpg,43
仲崇山,3016,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/fd/38/9d2d443b4471bed734377f2f1c02/5086867e-64fa-4f14-85e2-34de54a14868_s.jpg,44
娄铖伟,2022149,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/62/3f/fbed781041a2a927e46791e6a7cf/0957f0fe-f768-4ea8-bf9a-bc17f3101ac0_s.jpg,45
路朋,2023104,电气工程,0,http://faculty.cau.edu.cn/_upload/article/images/2a/9d/caecfa4a4d20a4747606ac45b9da/b827d3c2-2826-40da-87bc-e39c231c3c1e_s.jpg,
陈英义,8019,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/71/a0/226509fc4a2fa5a924a21a521ad5/bd80a9c8-f964-4dd1-b01e-28818dc05947_s.jpg,46
黄岚,93091,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/97/af/b83902cc40bfb99337ed01ab2f2d/0ba85219-f4d9-4280-898c-a58570493121_s.jpg,47
段青玲,90525,计算机学科方向一,1,http://faculty.cau.edu.cn/_upload/article/images/71/7a/5717944346f79d1032713883a36a/c64d02a6-11ec-4dda-93ff-2eed472bca33_s.jpg,48
李振波,201024,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/ce/84/c96af41746e8ab11f294019c7cd7/e7b6d17f-6c1e-498f-8992-103cd57cec84_s.jpg,49
王敏娟,2019123,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/49/3f/0b5e7e8545d19175405c5f0f27c9/1de343e2-c2d1-40a2-8781-288e91a435d8_s.jpg,50
付学谦,2017077,计算机学科方向一,0,http://ciee.cau.edu.cn/picture/0/s_c74eecc97f154f95ac2774c396d475e4.jpg,51
王庆,13,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/40/56/153145104f3d8145f26c1dd6f30d/8c721435-8bb1-4fc3-994a-8f1ac8b2f5b6_s.jpg,52
李想,2014006,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/4c/92/4444becc424fb94ac42cf5aa1b21/ae357e6f-5dae-4b43-a1e1-bba280e4a286_s.jpg,53
郭浩（土院）,2015017,计算机学科方向一,0,http://faculty.cau.edu.cn/_res/articleType/teacher_CN.jpg,54
贾璐,201512,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/05/f6/f1659c9a4a17a76d46eb81a2163d/b0b32f98-3632-4d9e-859b-796539695930_s.jpg,55
王耀君,2019099,计算机学科方向一,0,http://ciee.cau.edu.cn/picture/0/s_64645255037845328bcd8f7e42bc669c.png,56
赵景博,2019041,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/1f/82/496c29c949a99c411ff6653b4d0c/bc4dee38-c839-4c45-b2a9-718c84aec175_s.jpg,57
陈昕,97531,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/1b/21/c83021c746f2aa2b91744e0686a3/da087442-0f5f-48db-b327-31cc4c39b3ae_s.jpg,58
刘元杰,2018101,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/bc/04/5bc0321048acac3b26c244bf3bf1/5466cf14-eb53-4a2e-8810-195afdff200a_s.jpg,59
马钦,3123,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/f7/84/9942df2a495385ad78ad5b9f08a1/1fc32423-f91f-480a-aca0-730f2085ad0e_s.jpg,60
杨颖,8026,计算机学科方向一,0,http://faculty.cau.edu.cn/_upload/article/images/c5/c3/6fcaba734b1aba9fe85d852cb820/490c9bb1-cb53-4f28-a057-11c3b7444de4_s.jpg,61
王晨,2023091,计算机学科方向一,0,https://webplus.cau.edu.cn/_upload/article/images/31/25/a201ac37427f84fe4e4211f2f3c2/d7c2d093-28bd-4bba-80cd-4463c5f0bf79_s.jpg,
